id,label,category,hot_technology,in_demand,source,occurrences,occupations
adexa_egps_suite,Adexa eGPS Suite,Enterprise resource planning ERP software,false,false,O*NET Technology Skills 30.2,1,Network and Computer Systems Administrators
ado_net,ADO.NET,Data base management system software,false,false,O*NET Technology Skills 30.2,4,Database Administrators; Database Architects; Software Developers; Software Quality Assurance Analysts and Testers
adobe_acrobat,Adobe Acrobat,Document management software,true,false,O*NET Technology Skills 30.2,14,Business Intelligence Analysts; Computer Network Support Specialists; Computer Programmers; Computer Systems Analysts; Computer Systems Engineers/Architects; Computer User Support Specialists; Database Architects; Information Technology Project Managers; Network and Computer Systems Administrators; Software Developers; Software Quality Assurance Analysts and Testers; Web Administrators; Web Developers; Web and Digital Interface Designers
adobe_actionscript,Adobe ActionScript,Development environment software,false,false,O*NET Technology Skills 30.2,15,Business Intelligence Analysts; Computer Network Architects; Computer Programmers; Computer Systems Analysts; Computer Systems Engineers/Architects; Computer User Support Specialists; Information Security Analysts; Information Technology Project Managers; Network and Computer Systems Administrators; Software Developers; Software Quality Assurance Analysts and Testers; Video Game Designers; Web Administrators; Web Developers; Web and Digital Interface Designers
adobe_after_effects,Adobe After Effects,Video creation and editing software,true,false,O*NET Technology Skills 30.2,6,Computer Network Architects; Software Developers; Software Quality Assurance Analysts and Testers; Video Game Designers; Web Developers; Web and Digital Interface Designers
adobe_air,Adobe AIR,Development environment software,false,false,O*NET Technology Skills 30.2,1,Computer Systems Engineers/Architects
adobe_coldfusion,Adobe ColdFusion,Web platform development software,false,false,O*NET Technology Skills 30.2,3,Computer Programmers; Computer Systems Analysts; Web Administrators
adobe_creative_cloud,Adobe Creative Cloud,Graphics or photo imaging software,true,true,O*NET Technology Skills 30.2,9,Computer Systems Engineers/Architects; Computer User Support Specialists; Information Technology Project Managers; Software Developers; Software Quality Assurance Analysts and Testers; Video Game Designers; Web Administrators; Web Developers; Web and Digital Interface Designers
adobe_director,Adobe Director,Video creation and editing software,false,false,O*NET Technology Skills 30.2,1,Web Administrators
adobe_distiller,Adobe Distiller,Desktop publishing software,false,false,O*NET Technology Skills 30.2,2,Computer User Support Specialists; Computer and Information Systems Managers
adobe_dreamweaver,Adobe Dreamweaver,Web page creation and editing software,false,false,O*NET Technology Skills 30.2,14,Business Intelligence Analysts; Computer Programmers; Computer Systems Analysts; Computer Systems Engineers/Architects; Computer User Support Specialists; Database Administrators; Database Architects; Information Technology Project Managers; Network and Computer Systems Administrators; Software Developers; Software Quality Assurance Analysts and Testers; Web Administrators; Web Developers; Web and Digital Interface Designers
adobe_experience_manager_aem,Adobe Experience Manager (AEM),Web page creation and editing software,false,false,O*NET Technology Skills 30.2,1,Web Administrators
adobe_flex,Adobe Flex,Web platform development software,false,false,O*NET Technology Skills 30.2,8,Computer Programmers; Computer Systems Analysts; Computer Systems Engineers/Architects; Computer and Information Systems Managers; Software Developers; Software Quality Assurance Analysts and Testers; Web Developers; Web and Digital Interface Designers
adobe_framemaker,Adobe FrameMaker,Desktop publishing software,false,false,O*NET Technology Skills 30.2,1,Computer Systems Engineers/Architects
adobe_freehand_mx,Adobe FreeHand MX,Graphics or photo imaging software,false,false,O*NET Technology Skills 30.2,1,Web Administrators
adobe_illustrator,Adobe Illustrator,Graphics or photo imaging software,true,true,O*NET Technology Skills 30.2,10,Computer Programmers; Computer Systems Analysts; Computer User Support Specialists; Information Technology Project Managers; Software Developers; Software Quality Assurance Analysts and Testers; Video Game Designers; Web Administrators; Web Developers; Web and Digital Interface Designers
adobe_indesign,Adobe InDesign,Desktop publishing software,true,false,O*NET Technology Skills 30.2,7,Computer User Support Specialists; Information Technology Project Managers; Software Developers; Software Quality Assurance Analysts and Testers; Web Administrators; Web Developers; Web and Digital Interface Designers
adobe_macromedia_homesite,Adobe Macromedia HomeSite,Web page creation and editing software,false,false,O*NET Technology Skills 30.2,1,Web Administrators
adobe_pagemaker,Adobe PageMaker,Desktop publishing software,false,false,O*NET Technology Skills 30.2,1,Web Administrators
adobe_photoshop,Adobe Photoshop,Graphics or photo imaging software,true,true,O*NET Technology Skills 30.2,11,Computer Programmers; Computer Systems Analysts; Computer Systems Engineers/Architects; Computer User Support Specialists; Information Technology Project Managers; Software Developers; Software Quality Assurance Analysts and Testers; Video Game Designers; Web Administrators; Web Developers; Web and Digital Interface Designers
adobe_postscript,Adobe PostScript,Development environment software,false,false,O*NET Technology Skills 30.2,1,Computer Programmers
adobe_xd,Adobe XD,Graphics or photo imaging software,false,true,O*NET Technology Skills 30.2,1,Web and Digital Interface Designers
adp_workforce_now,ADP Workforce Now,Human resources software,false,false,O*NET Technology Skills 30.2,1,Computer Systems Analysts
advanced_business_application_programming_abap,Advanced business application programming ABAP,Object or component oriented development software,false,false,O*NET Technology Skills 30.2,18,Business Intelligence Analysts; Computer Network Architects; Computer Programmers; Computer Systems Analysts; Computer Systems Engineers/Architects; Computer User Support Specialists; Computer and Information Systems Managers; Data Warehousing Specialists; Database Administrators; Database Architects; Information Security Analysts; Information Technology Project Managers; Network and Computer Systems Administrators; Software Developers; Software Quality Assurance Analysts and Testers; Video Game Designers; Web Developers; Web and Digital Interface Designers
advanced_numerical,Advanced numerical,Analytical or scientific software,false,false,O*NET Technology Skills 30.2,1,Computer and Information Research Scientists
aec_software_fasttrack_schedule,AEC Software FastTrack Schedule,Project management software,false,false,O*NET Technology Skills 30.2,1,Information Technology Project Managers
airflow,Airflow,Procedure management software,true,true,O*NET Technology Skills 30.2,6,Computer Systems Engineers/Architects; Computer and Information Research Scientists; Data Scientists; Database Administrators; Database Architects; Software Developers
airmagnet_enterprise,AirMagnet Enterprise,Network monitoring software,false,false,O*NET Technology Skills 30.2,1,Computer Network Architects
airtable,Airtable,Data base user interface and query software,false,false,O*NET Technology Skills 30.2,6,Business Intelligence Analysts; Information Technology Project Managers; Software Developers; Software Quality Assurance Analysts and Testers; Web Developers; Web and Digital Interface Designers
ajax,AJAX,Web platform development software,true,false,O*NET Technology Skills 30.2,16,Business Intelligence Analysts; Computer Network Architects; Computer Programmers; Computer Systems Analysts; Computer Systems Engineers/Architects; Computer User Support Specialists; Database Administrators; Database Architects; Information Security Analysts; Information Technology Project Managers; Network and Computer Systems Administrators; Software Developers; Software Quality Assurance Analysts and Testers; Web Administrators; Web Developers; Web and Digital Interface Designers
algorithmic,Algorithmic,Analytical or scientific software,false,false,O*NET Technology Skills 30.2,1,Computer and Information Research Scientists
algorithmic_language_algol,Algorithmic language ALGOL,Development environment software,false,false,O*NET Technology Skills 30.2,3,Computer Programmers; Software Developers; Software Quality Assurance Analysts and Testers
allaire_coldfusion,Allaire ColdFusion,Web platform development software,false,false,O*NET Technology Skills 30.2,2,Software Developers; Software Quality Assurance Analysts and Testers
alpha_four,Alpha Four,Data base management system software,false,false,O*NET Technology Skills 30.2,1,Computer and Information Systems Managers
alteryx,Alteryx,Business intelligence and data analysis software,true,false,O*NET Technology Skills 30.2,3,Business Intelligence Analysts; Data Scientists; Software Developers
altia_design,Altia Design,Graphical user interface development software,false,false,O*NET Technology Skills 30.2,1,Computer Systems Engineers/Architects
altova_mapforce,Altova MapForce,Metadata management software,false,false,O*NET Technology Skills 30.2,2,Data Warehousing Specialists; Database Architects
amazon_data_pipeline,Amazon Data Pipeline,Data base management system software,false,false,O*NET Technology Skills 30.2,2,Database Administrators; Software Quality Assurance Analysts and Testers
amazon_dynamodb,Amazon DynamoDB,Data base management system software,true,false,O*NET Technology Skills 30.2,16,Business Intelligence Analysts; Computer Network Architects; Computer Programmers; Computer Systems Analysts; Computer Systems Engineers/Architects; Computer and Information Research Scientists; Data Warehousing Specialists; Database Administrators; Database Architects; Information Security Analysts; Information Technology Project Managers; Network and Computer Systems Administrators; Software Developers; Software Quality Assurance Analysts and Testers; Web Developers; Web and Digital Interface Designers
amazon_ec2,Amazon EC2,Data base user interface and query software,true,false,O*NET Technology Skills 30.2,17,Business Intelligence Analysts; Computer Network Architects; Computer Programmers; Computer Systems Analysts; Computer Systems Engineers/Architects; Computer and Information Research Scientists; Data Scientists; Data Warehousing Specialists; Database Administrators; Database Architects; Information Security Analysts; Information Technology Project Managers; Network and Computer Systems Administrators; Software Developers; Software Quality Assurance Analysts and Testers; Web Developers; Web and Digital Interface Designers
amazon_elastic_container_service_ecs,Amazon Elastic Container Service ECS,Application server software,false,false,O*NET Technology Skills 30.2,1,Blockchain Engineers
amazon_kinesis,Amazon Kinesis,Data base management system software,false,false,O*NET Technology Skills 30.2,8,Blockchain Engineers; Computer Programmers; Database Architects; Information Technology Project Managers; Software Developers; Software Quality Assurance Analysts and Testers; Web Developers; Web and Digital Interface Designers
amazon_redshift,Amazon Redshift,Data base user interface and query software,true,true,O*NET Technology Skills 30.2,18,Business Intelligence Analysts; Computer Network Architects; Computer Programmers; Computer Systems Analysts; Computer Systems Engineers/Architects; Computer User Support Specialists; Computer and Information Research Scientists; Data Scientists; Data Warehousing Specialists; Database Administrators; Database Architects; Information Security Analysts; Information Technology Project Managers; Network and Computer Systems Administrators; Software Developers; Software Quality Assurance Analysts and Testers; Web Developers; Web and Digital Interface Designers
amazon_simple_storage_service_s3,Amazon Simple Storage Service S3,Storage networking software,false,false,O*NET Technology Skills 30.2,16,Blockchain Engineers; Computer Network Architects; Computer Programmers; Computer Systems Analysts; Computer Systems Engineers/Architects; Data Scientists; Data Warehousing Specialists; Database Administrators; Database Architects; Digital Forensics Analysts; Information Security Analysts; Network and Computer Systems Administrators; Software Developers; Software Quality Assurance Analysts and Testers; Web Developers; Web and Digital Interface Designers
american_national_standards_institute_ansi_c,American National Standards Institute ANSI C,Development environment software,false,false,O*NET Technology Skills 30.2,3,Computer Programmers; Software Developers; Software Quality Assurance Analysts and Testers
ams_realtime_projects,AMS REALTIME Projects,Project management software,false,false,O*NET Technology Skills 30.2,1,Information Technology Project Managers
angular,Angular,Web platform development software,true,true,O*NET Technology Skills 30.2,14,Blockchain Engineers; Computer Network Architects; Computer Programmers; Computer Systems Analysts; Computer Systems Engineers/Architects; Computer User Support Specialists; Database Administrators; Database Architects; Information Security Analysts; Information Technology Project Managers; Software Developers; Software Quality Assurance Analysts and Testers; Web Developers; Web and Digital Interface Designers
ansible,Ansible,Expert system software,true,true,O*NET Technology Skills 30.2,19,Blockchain Engineers; Computer Network Architects; Computer Programmers; Computer Systems Analysts; Computer Systems Engineers/Architects; Computer User Support Specialists; Computer and Information Research Scientists; Database Administrators; Database Architects; Digital Forensics Analysts; Information Security Analysts; Information Security Engineers; Information Technology Project Managers; Network and Computer Systems Administrators; Penetration Testers; Software Developers; Software Quality Assurance Analysts and Testers; Web Developers; Web and Digital Interface Designers
anthillpro,AnthillPro,Development environment software,false,false,O*NET Technology Skills 30.2,1,Information Technology Project Managers
anti_phishing,Anti-phishing,Transaction security and virus protection software,false,false,O*NET Technology Skills 30.2,1,Information Security Analysts
anti_spyware,Anti-spyware,Transaction security and virus protection software,false,false,O*NET Technology Skills 30.2,3,Computer Network Support Specialists; Information Security Analysts; Software Quality Assurance Analysts and Testers
anti_trojan,Anti-Trojan,Transaction security and virus protection software,false,false,O*NET Technology Skills 30.2,1,Information Security Analysts
antivirus,Antivirus,Transaction security and virus protection software,false,false,O*NET Technology Skills 30.2,3,Computer Network Support Specialists; Software Quality Assurance Analysts and Testers; Telecommunications Engineering Specialists
aonix_software_through_pictures,Aonix Software Through Pictures,Development environment software,false,false,O*NET Technology Skills 30.2,1,Computer Systems Engineers/Architects
apache_ant,Apache Ant,Development environment software,false,false,O*NET Technology Skills 30.2,16,Business Intelligence Analysts; Computer Network Architects; Computer Programmers; Computer Systems Analysts; Computer Systems Engineers/Architects; Computer User Support Specialists; Database Administrators; Database Architects; Information Security Analysts; Information Technology Project Managers; Network and Computer Systems Administrators; Software Developers; Software Quality Assurance Analysts and Testers; Web Administrators; Web Developers; Web and Digital Interface Designers
apache_avro,Apache Avro,Information retrieval or search software,false,false,O*NET Technology Skills 30.2,4,Data Warehousing Specialists; Database Architects; Software Developers; Software Quality Assurance Analysts and Testers
apache_cassandra,Apache Cassandra,Data base management system software,true,false,O*NET Technology Skills 30.2,19,Business Intelligence Analysts; Computer Network Architects; Computer Programmers; Computer Systems Analysts; Computer Systems Engineers/Architects; Computer User Support Specialists; Computer and Information Research Scientists; Computer and Information Systems Managers; Data Scientists; Data Warehousing Specialists; Database Administrators; Database Architects; Information Security Analysts; Information Technology Project Managers; Network and Computer Systems Administrators; Software Developers; Software Quality Assurance Analysts and Testers; Web Developers; Web and Digital Interface Designers
apache_continuum,Apache Continuum,Development environment software,false,false,O*NET Technology Skills 30.2,1,Information Technology Project Managers
apache_flume,Apache Flume,Data base management system software,false,false,O*NET Technology Skills 30.2,5,Computer and Information Research Scientists; Data Warehousing Specialists; Database Architects; Software Developers; Software Quality Assurance Analysts and Testers
apache_groovy,Apache Groovy,Object or component oriented development software,false,false,O*NET Technology Skills 30.2,15,Business Intelligence Analysts; Computer Network Architects; Computer Programmers; Computer Systems Analysts; Computer Systems Engineers/Architects; Computer User Support Specialists; Database Administrators; Database Architects; Information Security Analysts; Information Technology Project Managers; Network and Computer Systems Administrators; Software Developers; Software Quality Assurance Analysts and Testers; Web Developers; Web and Digital Interface Designers
apache_gump,Apache Gump,Development environment software,false,false,O*NET Technology Skills 30.2,1,Information Technology Project Managers
apache_hbase,Apache HBase,Data base management system software,false,false,O*NET Technology Skills 30.2,4,Data Warehousing Specialists; Database Architects; Software Developers; Software Quality Assurance Analysts and Testers
apache_hive,Apache Hive,Data base management system software,true,false,O*NET Technology Skills 30.2,18,Business Intelligence Analysts; Computer Network Architects; Computer Programmers; Computer Systems Analysts; Computer Systems Engineers/Architects; Computer User Support Specialists; Computer and Information Research Scientists; Data Scientists; Data Warehousing Specialists; Database Administrators; Database Architects; Information Security Analysts; Information Technology Project Managers; Network and Computer Systems Administrators; Software Developers; Software Quality Assurance Analysts and Testers; Web Developers; Web and Digital Interface Designers
apache_http_server,Apache HTTP Server,Portal server software,false,false,O*NET Technology Skills 30.2,19,Business Intelligence Analysts; Computer Network Architects; Computer Programmers; Computer Systems Analysts; Computer Systems Engineers/Architects; Computer User Support Specialists; Computer and Information Research Scientists; Computer and Information Systems Managers; Data Warehousing Specialists; Database Administrators; Database Architects; Information Security Analysts; Information Technology Project Managers; Network and Computer Systems Administrators; Software Developers; Software Quality Assurance Analysts and Testers; Web Administrators; Web Developers; Web and Digital Interface Designers
apache_mahout,Apache Mahout,Expert system software,false,false,O*NET Technology Skills 30.2,2,Database Administrators; Database Architects
apache_maven,Apache Maven,Development environment software,true,false,O*NET Technology Skills 30.2,15,Computer Network Architects; Computer Programmers; Computer Systems Analysts; Computer Systems Engineers/Architects; Computer User Support Specialists; Computer and Information Systems Managers; Database Administrators; Database Architects; Information Security Analysts; Information Technology Project Managers; Network and Computer Systems Administrators; Software Developers; Software Quality Assurance Analysts and Testers; Web Developers; Web and Digital Interface Designers
apache_mxnet,Apache MXNet,Industrial control software,false,false,O*NET Technology Skills 30.2,1,Data Scientists
apache_oozie,Apache Oozie,Data base management system software,false,false,O*NET Technology Skills 30.2,4,Data Warehousing Specialists; Database Architects; Software Developers; Software Quality Assurance Analysts and Testers
apache_pig,Apache Pig,Data base management system software,false,false,O*NET Technology Skills 30.2,19,Business Intelligence Analysts; Computer Network Architects; Computer Programmers; Computer Systems Analysts; Computer Systems Engineers/Architects; Computer User Support Specialists; Computer and Information Research Scientists; Computer and Information Systems Managers; Data Scientists; Data Warehousing Specialists; Database Administrators; Database Architects; Information Security Analysts; Information Technology Project Managers; Network and Computer Systems Administrators; Software Developers; Software Quality Assurance Analysts and Testers; Web Developers; Web and Digital Interface Designers
apache_solr,Apache Solr,Data base management system software,false,false,O*NET Technology Skills 30.2,18,Business Intelligence Analysts; Computer Network Architects; Computer Programmers; Computer Systems Analysts; Computer Systems Engineers/Architects; Computer User Support Specialists; Computer and Information Research Scientists; Computer and Information Systems Managers; Data Warehousing Specialists; Database Administrators; Database Architects; Information Security Analysts; Information Technology Project Managers; Network and Computer Systems Administrators; Software Developers; Software Quality Assurance Analysts and Testers; Web Developers; Web and Digital Interface Designers
apache_sqoop,Apache Sqoop,Data base management system software,false,false,O*NET Technology Skills 30.2,4,Data Warehousing Specialists; Database Administrators; Database Architects; Software Quality Assurance Analysts and Testers
apache_struts,Apache Struts,Web platform development software,false,false,O*NET Technology Skills 30.2,16,Business Intelligence Analysts; Computer Network Architects; Computer Programmers; Computer Systems Analysts; Computer Systems Engineers/Architects; Computer User Support Specialists; Database Administrators; Database Architects; Information Security Analysts; Information Technology Project Managers; Network and Computer Systems Administrators; Software Developers; Software Quality Assurance Analysts and Testers; Web Administrators; Web Developers; Web and Digital Interface Designers
apache_subversion_svn,Apache Subversion SVN,File versioning software,true,false,O*NET Technology Skills 30.2,16,Computer Network Architects; Computer Programmers; Computer Systems Analysts; Computer Systems Engineers/Architects; Computer User Support Specialists; Computer and Information Research Scientists; Data Warehousing Specialists; Database Administrators; Database Architects; Information Security Analysts; Information Technology Project Managers; Network and Computer Systems Administrators; Software Developers; Software Quality Assurance Analysts and Testers; Web Developers; Web and Digital Interface Designers
apache_tomcat,Apache Tomcat,Web platform development software,true,false,O*NET Technology Skills 30.2,18,Business Intelligence Analysts; Computer Network Architects; Computer Network Support Specialists; Computer Programmers; Computer Systems Analysts; Computer Systems Engineers/Architects; Computer User Support Specialists; Computer and Information Systems Managers; Database Administrators; Database Architects; Information Security Analysts; Information Technology Project Managers; Network and Computer Systems Administrators; Software Developers; Software Quality Assurance Analysts and Testers; Web Administrators; Web Developers; Web and Digital Interface Designers
apatar,Apatar,Metadata management software,false,false,O*NET Technology Skills 30.2,2,Data Warehousing Specialists; Database Architects
appium,Appium,Program testing software,false,true,O*NET Technology Skills 30.2,1,Software Quality Assurance Analysts and Testers
apple_cocoa,Apple Cocoa,Object or component oriented development software,false,false,O*NET Technology Skills 30.2,3,Software Quality Assurance Analysts and Testers; Web Developers; Web and Digital Interface Designers
apple_final_cut_pro,Apple Final Cut Pro,Video creation and editing software,false,false,O*NET Technology Skills 30.2,5,Computer Systems Engineers/Architects; Computer User Support Specialists; Computer and Information Systems Managers; Information Technology Project Managers; Web Developers
apple_imovie,Apple iMovie,Video creation and editing software,false,false,O*NET Technology Skills 30.2,1,Computer and Information Systems Managers
apple_ios,Apple iOS,Operating system software,true,true,O*NET Technology Skills 30.2,6,Computer User Support Specialists; Digital Forensics Analysts; Information Security Engineers; Penetration Testers; Software Developers; Web and Digital Interface Designers
apple_iwork_keynote,Apple iWork Keynote,Presentation software,false,false,O*NET Technology Skills 30.2,1,Computer and Information Systems Managers
apple_iwork_numbers,Apple iWork Numbers,Spreadsheet software,false,false,O*NET Technology Skills 30.2,1,Computer and Information Systems Managers
apple_iwork_pages,Apple iWork Pages,Word processing software,false,false,O*NET Technology Skills 30.2,1,Computer and Information Systems Managers
apple_keynote,Apple Keynote,Presentation software,false,false,O*NET Technology Skills 30.2,2,Web Developers; Web and Digital Interface Designers
apple_macos,Apple macOS,Operating system software,true,true,O*NET Technology Skills 30.2,19,Computer Network Architects; Computer Network Support Specialists; Computer Systems Analysts; Computer Systems Engineers/Architects; Computer User Support Specialists; Computer and Information Systems Managers; Data Warehousing Specialists; Database Administrators; Database Architects; Digital Forensics Analysts; Information Security Analysts; Information Security Engineers; Information Technology Project Managers; Network and Computer Systems Administrators; Penetration Testers; Software Developers; Software Quality Assurance Analysts and Testers; Web Developers; Web and Digital Interface Designers
apple_safari,Apple Safari,Internet browser software,true,false,O*NET Technology Skills 30.2,2,Software Quality Assurance Analysts and Testers; Web Administrators
application_management,Application management,Configuration management software,false,false,O*NET Technology Skills 30.2,4,Computer Network Architects; Computer Network Support Specialists; Computer Systems Analysts; Network and Computer Systems Administrators
architecture_description_language_adl,Architecture description language ADL,Requirements analysis and system architecture software,false,false,O*NET Technology Skills 30.2,1,Computer Systems Analysts
arcsight_enterprise_threat_and_risk_management,ArcSight Enterprise Threat and Risk Management,Risk management data and analysis software,false,false,O*NET Technology Skills 30.2,2,Information Security Analysts; Information Security Engineers
arping,Arping,Network monitoring software,false,false,O*NET Technology Skills 30.2,1,Computer Network Support Specialists
aruba_networks_airwave,Aruba Networks AirWave,Administration software,false,false,O*NET Technology Skills 30.2,1,Computer Network Architects
ascensio_systems_teamlab,Ascensio Systems TeamLab,Project management software,false,false,O*NET Technology Skills 30.2,1,Information Technology Project Managers
asg_technologies_asg_zeke,ASG Technologies ASG-Zeke,Data base reporting software,false,false,O*NET Technology Skills 30.2,2,Database Administrators; Database Architects
asp,ASP,Web platform development software,true,false,O*NET Technology Skills 30.2,18,Business Intelligence Analysts; Computer Network Architects; Computer Programmers; Computer Systems Analysts; Computer Systems Engineers/Architects; Computer User Support Specialists; Computer and Information Systems Managers; Database Administrators; Database Architects; Information Security Analysts; Information Technology Project Managers; Network and Computer Systems Administrators; Penetration Testers; Software Developers; Software Quality Assurance Analysts and Testers; Web Administrators; Web Developers; Web and Digital Interface Designers
assembla,Assembla,Project management software,false,false,O*NET Technology Skills 30.2,1,Information Technology Project Managers
asset_management_administration,Asset management administration,Administration software,false,false,O*NET Technology Skills 30.2,1,Computer Network Architects
aster_data_ncluster,Aster Data nCluster,Clustering software,false,false,O*NET Technology Skills 30.2,1,Data Warehousing Specialists
atlassian_bamboo,Atlassian Bamboo,Enterprise application integration software,false,false,O*NET Technology Skills 30.2,14,Computer Network Architects; Computer Programmers; Computer Systems Analysts; Computer Systems Engineers/Architects; Computer User Support Specialists; Database Administrators; Database Architects; Information Security Analysts; Information Technology Project Managers; Network and Computer Systems Administrators; Software Developers; Software Quality Assurance Analysts and Testers; Web Developers; Web and Digital Interface Designers
atlassian_bitbucket,Atlassian Bitbucket,Application server software,true,false,O*NET Technology Skills 30.2,4,Computer Systems Engineers/Architects; Software Developers; Software Quality Assurance Analysts and Testers; Web Developers
atlassian_confluence,Atlassian Confluence,Project management software,true,true,O*NET Technology Skills 30.2,18,Blockchain Engineers; Business Intelligence Analysts; Computer Network Architects; Computer Programmers; Computer Systems Analysts; Computer Systems Engineers/Architects; Computer User Support Specialists; Data Scientists; Database Administrators; Database Architects; Information Security Analysts; Information Security Engineers; Information Technology Project Managers; Network and Computer Systems Administrators; Software Developers; Software Quality Assurance Analysts and Testers; Web Developers; Web and Digital Interface Designers
atlassian_hipchat,Atlassian HipChat,Instant messaging software,false,false,O*NET Technology Skills 30.2,1,Web Developers
attask,AtTask,Project management software,false,false,O*NET Technology Skills 30.2,1,Information Technology Project Managers
augmint,Augmint,Analytical or scientific software,false,false,O*NET Technology Skills 30.2,1,Computer and Information Research Scientists
autodesk_3ds_max,Autodesk 3ds Max,Video creation and editing software,false,false,O*NET Technology Skills 30.2,1,Video Game Designers
autodesk_autocad,Autodesk AutoCAD,Computer aided design CAD software,true,true,O*NET Technology Skills 30.2,6,Computer Network Architects; Computer Systems Engineers/Architects; Computer User Support Specialists; Information Technology Project Managers; Software Quality Assurance Analysts and Testers; Telecommunications Engineering Specialists
autodesk_maya,Autodesk Maya,Graphics or photo imaging software,false,true,O*NET Technology Skills 30.2,1,Video Game Designers
autodesk_navisworks,Autodesk Navisworks,Computer aided design CAD software,false,true,O*NET Technology Skills 30.2,1,Telecommunications Engineering Specialists
autodesk_revit,Autodesk Revit,Computer aided design CAD software,true,true,O*NET Technology Skills 30.2,7,Computer Network Architects; Computer Systems Engineers/Architects; Computer User Support Specialists; Database Administrators; Database Architects; Information Technology Project Managers; Telecommunications Engineering Specialists
autodesk_scaleform,Autodesk Scaleform,Development environment software,false,false,O*NET Technology Skills 30.2,1,Video Game Designers
automated_audit_trail_analysis,Automated audit trail analysis,Network monitoring software,false,false,O*NET Technology Skills 30.2,1,Information Security Analysts
automated_document_generation,Automated document generation,Development environment software,false,false,O*NET Technology Skills 30.2,1,Computer and Information Research Scientists
automated_installation,Automated installation,Configuration management software,false,false,O*NET Technology Skills 30.2,8,Computer Network Architects; Computer Network Support Specialists; Computer Systems Analysts; Computer User Support Specialists; Information Security Analysts; Network and Computer Systems Administrators; Software Developers; Software Quality Assurance Analysts and Testers
automated_media_tracking,Automated media tracking,Network monitoring software,false,false,O*NET Technology Skills 30.2,1,Information Security Analysts
automation_centre_trackersuite_net,Automation Centre TrackerSuite.Net,Project management software,false,false,O*NET Technology Skills 30.2,1,Information Technology Project Managers
avaya_identity_engines,Avaya Identity Engines,Access software,false,false,O*NET Technology Skills 30.2,1,Telecommunications Engineering Specialists
